"","avg_MET","avg_Intra_FLC"
"hsa-mir-330-3p_+_1",117.5783036,21.34128486
"hsa-mir-363-3p_+_1",112.6047335,0
"hsa-mir-370",458.1091147,0
"hsa-mir-375",860.539528,67.50762649
"hsa-mir-330-3p",107.5333005,12.09441238
"hsa-mir-485-3p",273.8895592,0
"hsa-mir-92a-1-3p_-_1",415.5440889,16.25820784
"hsa-let-7f-1-5p",179318.3583,38514.34527
"hsa-mir-142-3p",933.4557798,0
"hsa-mir-454-3p_+_1",116.2630347,40.87359452
"hsa-mir-33b-5p",174.5519476,67.29189677
"hsa-mir-652-3p",685.5335954,259.7832618
"hsa-mir-504_+_1",169.8209732,0.743626478
"hsa-let-7f-2-5p_-_1",422.5486783,109.9637584
"hsa-mir-93-5p",34846.06265,7060.498932
"hsa-mir-501-5p",111.6330739,22.61164599
"hsa-mir-106a-5p_+_1",132.0044451,14.96268593
"hsa-mir-664-5p",317.1191417,29.81378086
"hsa-mir-340-5p",4639.676791,231.8476576
"hsa-mir-941-4",163.9859422,76.47563673
"hsa-mir-941-1",163.9859422,76.47563673
"hsa-mir-181a-2-5p",49767.59654,2616.293447
"hsa-mir-532-3p",591.7827506,280.0228495
"hsa-let-7a-3-3p",267.8485205,44.30214735
"hsa-mir-103a-2-3p_+_1",150.1993653,99.78012649
"hsa-mir-103a-2-3p_+_2",134.5117224,27.91953753
"hsa-mir-191-5p",29131.71214,4619.683265
"hsa-mir-130b-5p",121.0503822,26.67806334
"hsa-mir-345-5p",2466.638585,514.269368
"hsa-mir-125b-2-3p_+_2",907.7977248,33.60669462
"hsa-mir-1275",121.7071966,39.98529355
"hsa-mir-127-3p_+_1",109.9080004,0
"hsa-mir-200b-3p",2044.58997,400.8248813
"hsa-mir-146b-5p_-_1",521.4682829,10.39283164
"hsa-mir-7-2-5p",1350.460703,216.9259871
"hsa-mir-27b-3p_+_2",154.1428299,31.02916273
"hsa-mir-27b-3p_+_1",1111.710466,426.7197139
"hsa-mir-192-5p_+_2",945.1703828,1085.089987
"hsa-mir-192-5p_+_1",40033.49505,20469.29976
"hsa-mir-129-2-5p",106.2434049,0
"hsa-mir-486-5p_+_2",353.9628012,0
"hsa-mir-454-3p",2304.739692,446.6415639
"hsa-mir-30b-3p",290.3834073,82.54695688
"hsa-mir-181b-2-5p_-_1",165.3063526,0
"hsa-mir-30e-5p_+_1",1498.64948,168.4539754
"hsa-mir-100-5p",12601.59885,1006.933982
"hsa-mir-664-5p_+_1",253.8208881,37.05295593
"hsa-mir-424-3p",1011.320987,192.5533355
"hsa-mir-218-2-5p",2800.954674,163.7385151
"hsa-mir-144-5p_+_1",140.5527269,0
"hsa-mir-493-5p",1999.823513,0
"hsa-mir-409-3p",1957.077599,10.99877478
"hsa-let-7d-5p",27939.41642,14322.98779
"hsa-mir-223-3p",1685.52141,0
"hsa-mir-144-5p",2594.022103,0
"hsa-mir-511-1",100.8309122,0
"hsa-mir-511-2",100.8309122,0
"hsa-mir-766-3p",132.3855926,0
"hsa-mir-589-5p",102.4941661,51.12175166
"hsa-mir-26a-1-5p",275355.9701,16140.51595
"hsa-mir-136-3p",138.5653136,0
"hsa-mir-125b-1-5p",1703.157994,62.54009721
"hsa-mir-132-5p",345.4242623,20.00965428
"hsa-mir-223-3p_+_1",195.5471209,0
"hsa-mir-16-1-5p_+_2",101.5956715,11.59470159
"hsa-mir-28-3p_+_1",838.1175039,149.4989618
"hsa-mir-28-3p_+_2",277.5319066,37.09885037
"hsa-mir-26a-1-5p_+_1",2019.669955,273.0567261
"hsa-mir-26a-1-5p_+_2",199.856732,0
"hsa-mir-769-5p",1204.306961,467.2713371
"hsa-let-7e-5p_+_1",234.2945545,37.90281476
"hsa-mir-29b-2-3p_-_1",115.6605136,23.52533831
"hsa-mir-452-5p_+_3",168.436118,12.97572219
"hsa-mir-17-5p_+_1",147.447567,15.68651029
"hsa-mir-320a_-_1",633.032233,523.3657462
"hsa-mir-17-5p",15581.40806,801.5391217
"hsa-let-7a-3-5p_-_1",1418.798695,103.4952337
"hsa-mir-20b-5p",660.2627942,0
"hsa-mir-133a-2_+_1",155.0212613,0
"hsa-mir-126-5p_+_1",803.9968031,0
"hsa-mir-330-5p",103.4689903,34.86261228
"hsa-mir-143-3p_-_1",4025.893474,23.57216429
"hsa-mir-101-1-3p",5777.284476,896.7472539
"hsa-mir-181b-1-5p_+_1",327.3634977,114.541065
"hsa-mir-654-3p",983.1951178,2.018414725
"hsa-let-7a-1-5p_+_1",1949.076161,875.9075985
