miR,avg_NML,avg_PRI,avg_MET,avg_REC
hsa-mir-21-5p_-_3,0,3.966120653,1.825087345,0
hsa-mir-21-5p_-_1,801.7242799,3983.368953,4521.458072,4339.342647
hsa-mir-99a-5p_+_1,25.21991015,6.826777614,0.529788816,17.69446954
hsa-mir-3909_-_1,0,3.758791363,1.485076378,0
hsa-mir-3064-5p,0,4.826018749,5.708526011,0
hsa-mir-143-3p_+_5,2.365768564,2.952730452,2.758693603,0
hsa-mir-454-3p_+_2,0,0,4.595611085,8.954075521
hsa-mir-214-3p,2986.844962,4147.909476,2289.083273,2938.175368
hsa-mir-3609_-_1,75.25833268,63.54472169,178.0108375,401.7844574
hsa-mir-324-3p_-_2,110.7347156,241.2852172,199.4890721,189.5069385
hsa-mir-3687_+_7,5.296304038,2.46060871,11.7570703,14.58830143
hsa-mir-3687_+_6,5.892018579,1.735758432,1.011915328,0
hsa-mir-3687_+_3,0,0,20.34428034,0
hsa-mir-3687_+_2,22.49530408,0,71.29355882,25.7357684
hsa-mir-3687_+_8,14.54397765,0,22.25298295,91.82048548
hsa-mir-1283-1_+_1,0,0,2.044209444,17.16270757
hsa-mir-106b-3p_-_3,0,0,0.578956265,0
hsa-mir-106b-3p_-_2,594.1028449,1299.977136,1348.65745,1678.041576
hsa-mir-106b-3p_-_1,110.4874405,145.796292,144.8415823,272.0089197
hsa-mir-193b-5p,287.0695114,215.2763553,100.7303706,421.6840207
hsa-mir-23a-5p,35.96467827,25.08244084,20.78275333,55.77879959
hsa-mir-192-3p_+_1,4.749757478,2.662297523,0,0
hsa-mir-3605-5p,7.393966131,34.1709311,10.74252042,9.439489162
hsa-mir-200c-3p,329.1695611,392.7683222,6783.757748,709.9296948
hsa-mir-320b-1_+_1,32.05770654,94.2697036,53.69527428,160.333745
hsa-mir-335-5p,2004.917261,975.6855037,1243.430365,500.4544534
hsa-mir-511-1_-_1,15.92699522,1.611775687,6.002067286,0
hsa-mir-30e-3p,12946.80519,5888.035133,7503.045767,6189.740709
hsa-mir-133a-1_+_2,0,7.441122823,6.319245845,12.86373773
hsa-mir-133a-1_+_1,104.0752784,154.6250241,155.0212613,118.7837016
hsa-let-7e-5p,16554.09598,28829.87882,21070.10213,13567.72331
hsa-mir-887_+_2,0,1.638523792,0,0
hsa-mir-548aw,0,0,1.457629546,0
hsa-mir-374b-3p_+_1,1.577179043,1.363810196,7.591109287,7.007537364
hsa-mir-362-3p,18.35158135,30.91034085,47.13346592,16.74022815
hsa-mir-125b-1-5p_+_3,1.445747456,0,0.407529859,0
hsa-mir-320c-1,162.2379262,337.2649226,192.1629623,614.9498742
hsa-mir-92a-2-3p_+_6,53.74969554,45.12897762,31.33953951,34.29224335
hsa-mir-92a-2-3p_+_7,48.38653473,44.58475298,29.98513956,40.06892359
hsa-mir-92a-2-3p_+_4,111.2873188,104.0353536,64.24722654,64.51578425
hsa-mir-92a-2-3p_+_5,7.443500699,1.91161109,1.945513208,0
hsa-mir-92a-2-3p_+_2,151.0121953,172.6090141,102.4376543,191.7183901
hsa-mir-92a-2-3p_+_1,2242.802229,2748.924413,1947.70274,2620.058788
hsa-mir-92a-2-3p_+_8,7.539751191,3.262860383,3.28145363,5.060999207
hsa-mir-184,0,54.4702571,86.98586845,0
hsa-mir-27b-5p_-_1,45.38800799,24.61999658,26.60648958,45.43141737
hsa-mir-342-5p_+_5,0,0,4.698093323,0
hsa-mir-342-5p_+_1,220.7218654,270.4063922,414.0888689,184.6927926
hsa-mir-518a-1-3p_+_1,0,0,0,21.45338446
hsa-mir-491-5p_+_1,3.324830235,6.690638816,0,10.29762454
hsa-mir-491-5p_+_2,0,1.804446388,0,0
hsa-mir-151a-3p_+_2,32.7364637,13.07151133,16.37700116,37.74137075
hsa-mir-342-3p_-_1,2.612366613,2.321242038,2.407883214,0
hsa-mir-3614-3p,33.44771127,7.015123485,17.47543792,0
hsa-mir-133a-1,155.2916024,208.241104,220.4592858,176.5934431
hsa-mir-133a-2,155.2916024,208.241104,220.4592858,176.5934431
hsa-mir-299-3p_+_1,0,0,0,4.282383945
hsa-mir-339-3p,218.3326437,184.5785584,270.4062301,255.3613882
hsa-mir-410,269.7851161,319.8848278,309.6237493,355.653484
hsa-mir-222-3p_-_2,0,0,0.629608665,0
hsa-mir-485-5p,104.9800221,89.76044552,64.21888278,238.5631094
hsa-mir-651_+_1,4.620133735,0,0,0
hsa-mir-449b-5p,47.40543681,1007.016591,1954.613554,6431.988463
hsa-mir-551b-3p,16.0964696,73.67531789,34.60862521,37.11350278
hsa-mir-32-5p_+_1,0,5.785657591,12.92823167,9.343383152
hsa-mir-3928_+_1,0,1.487792942,0,0
hsa-mir-3928_+_2,0,4.788336037,0.890701946,0
hsa-mir-5001-3p,7.090150743,17.8532972,10.74941064,16.13723901
hsa-mir-32-3p,188.7866107,220.8202897,333.7707975,144.6038738
hsa-mir-487b_+_1,52.15818392,69.98414048,51.0257468,29.58737998
hsa-mir-487b_+_2,151.1917516,155.6128311,135.6415433,103.4299615
hsa-mir-30c-1-3p_+_1,48.25031865,14.59476974,12.91310748,21.12701105
hsa-mir-185-5p,2843.592377,1647.323644,2437.645007,3215.069847
hsa-mir-1292,1.70861063,18.85244642,13.7465334,24.17024493
hsa-mir-1291,0,3.116771033,5.391960235,15.44643681
hsa-mir-1296,152.1056253,110.4546537,82.8212809,153.7169895
hsa-mir-1294,29.95610199,30.41909247,15.89850847,47.3316072
hsa-mir-5699_+_3,0,0,1.950084243,0
hsa-mir-122-3p_-_1,532.4062792,231.875381,185.4666619,36.85835653
hsa-mir-122-3p_-_2,0,1.968486968,0.795076329,0
hsa-mir-122-3p_-_3,5.975756817,6.665236866,3.654771923,0
hsa-mir-222-3p_-_1,15.50935224,17.43315483,27.07553846,11.28992131
hsa-mir-3691-5p_-_1,0,1.487792942,0.48988607,10.29762454
hsa-mir-511-2_-_1,15.92699522,1.611775687,6.002067286,0
hsa-mir-4449_-_5,0,0,0,5.060999207
hsa-mir-4449_-_7,0,1.501980142,0,0
hsa-mir-376a-1-3p_+_1,4.987245352,3.106013777,1.203519308,10.90061368
hsa-mir-551a,0,0,2.372539435,9.439489162
hsa-mir-10a-5p_+_5,3.417221259,0,0.48903583,0
hsa-mir-93-3p_-_1,0,1.804446388,0,0
hsa-mir-93-3p_-_2,0,4.099132502,1.918754376,0
hsa-mir-3912,18.87453869,16.78052958,25.21745343,5.83961447
hsa-mir-211-5p,8.645300952,0,0,0
hsa-mir-532-5p_+_1,101.8922594,157.4021231,149.0870675,205.8993238
hsa-let-7c_-_1,601.0698869,467.2707973,312.3119947,290.0210088
hsa-let-7c_-_2,12.3868246,13.69753129,10.84023257,12.4578442
hsa-mir-19b-2-3p_-_1,39.06343967,31.74270806,27.68203358,10.12199841
hsa-mir-181b-1-5p,5054.903708,8144.315223,11310.76062,10188.44664
hsa-mir-126-3p,15281.58638,15217.10544,19156.20315,6264.62037
hsa-mir-19b-2-5p,0,0,1.129090989,0
hsa-mir-4516_+_3,7.498163142,7.077881973,3.865202615,12.87203068
hsa-mir-4516_+_2,15.42414165,13.37418476,12.02094712,19.7371137
hsa-mir-4516_+_1,43.58584592,35.24861896,23.02861541,62.64388262
hsa-mir-450a-2-5p,99.36645978,38.02478419,42.54800709,58.59664967
hsa-mir-450b-5p,265.0491141,105.0631405,132.3759888,147.3836685
hsa-mir-181b-2-5p,6574.471388,10159.42937,14473.46785,13299.1345
hsa-mir-760,0,9.861270523,15.74048411,27.46033211
hsa-mir-148a-3p_+_8,6.484439029,0,0.448282845,0
hsa-mir-148a-3p_+_7,1.445747456,0,0,0
hsa-mir-148a-3p_+_5,10.21203095,0,0.733553746,0
hsa-mir-148a-3p_+_2,1276.976613,334.4160638,354.7406071,567.4187753
hsa-mir-148a-3p_+_3,19.0477326,0,1.460198173,0
hsa-mir-148a-3p_+_1,1589.362818,430.6921926,392.3100028,1211.937048
hsa-mir-191-3p_-_1,0,0,0,10.29762454
hsa-mir-101-1-3p_-_2,8.706422724,1.735758432,3.681946352,0
hsa-mir-101-1-3p_-_1,4720.87097,3028.066054,3764.863335,1766.446198
hsa-mir-26a-2-5p_+_5,17.0416811,3.579513828,6.875826865,0
hsa-mir-26a-2-5p_+_4,25.02741056,14.28496745,14.07733996,0
hsa-mir-26a-2-5p_+_6,16.91684185,0,8.798862035,0
hsa-mir-26a-2-5p_+_1,2345.49096,2626.621666,2022.759622,2611.317933
hsa-mir-26a-2-5p_+_3,90.56701493,53.51163032,59.0688463,15.96161288
hsa-mir-26a-2-5p_+_2,226.83035,221.2057408,200.6227561,195.6826936
hsa-mir-150-5p_+_4,3.81151602,0,16.10923224,0
hsa-mir-330-3p_+_2,7.98876077,7.968852598,16.14237902,17.3051619
hsa-mir-32-5p_-_1,0,7.684553033,11.01633935,0
hsa-mir-518e-3p_-_1,0,0,0,17.16270757
hsa-mir-885-3p_+_1,11.8743937,8.8485891,0.668026459,0
hsa-mir-708-5p_-_1,0,1.804446388,1.950259456,0
hsa-mir-28-5p_+_1,60.75367084,32.77854302,40.99683432,128.8974071
hsa-mir-181a-1-5p,30086.38722,38211.37932,49785.63985,53813.47052
hsa-mir-27a-3p,3560.126563,7364.420062,9240.624342,3752.802924
hsa-mir-200a-3p_-_1,1.577179043,1.611775687,5.969962349,0
hsa-mir-516a-1-5p,0,0,2.861893221,39.4742274
hsa-mir-24-2-3p,24132.35603,23931.73118,29712.98122,13672.08678
hsa-mir-423-5p_-_1,10.81779504,4.727157812,3.690083918,20.97626376
hsa-mir-504_-_1,0,1.775067441,0,0
hsa-mir-128-2_-_1,5.067978716,16.97140351,18.80753357,12.4744301
hsa-mir-4488_+_3,0,0,0.733553746,0
hsa-mir-320b-2_-_1,16.96126289,74.12042952,39.07928193,89.99981577
hsa-mir-26a-2-5p,316984.116,236421.0654,275731.5529,121856.5182
hsa-mir-24-1-5p_-_1,81.59226881,71.63136538,68.85090923,51.20809762
hsa-mir-550a-2-3p_+_1,0,1.501980142,0,0
hsa-mir-423-3p_-_2,37.43976431,50.07411561,29.41746368,100.4398946
hsa-mir-5010-3p,25.84964857,34.12816268,24.1136276,10.12199841
hsa-mir-3200-5p,1.971473803,0,4.092866344,0
hsa-mir-24-1-3p_+_5,0,0,2.005829255,0
hsa-mir-222-5p,0,0,0.858557271,0
hsa-mir-195-3p_+_1,13.77429669,22.28948559,13.03259186,28.75412344
hsa-mir-145-5p,22628.28139,45259.64763,10394.11578,21332.4233
hsa-let-7a-3-5p,130745.8093,145982.9731,134383.6632,58098.06332
hsa-mir-107_-_1,28.66338495,41.34809813,34.67843383,25.94944991
hsa-mir-589-3p_+_2,0,0,0,10.29762454
hsa-mir-374a-5p,1008.244221,685.9057578,1142.235387,474.1156959
hsa-mir-365b-3p,239.1123712,190.2573893,50.14487054,61.22081349
hsa-mir-101-2-3p_-_2,8.706422724,1.735758432,3.681946352,0
hsa-mir-101-2-3p_-_1,4772.324049,3043.736454,3783.626926,1776.656009
hsa-mir-365a-5p_+_1,6.64966047,7.346608957,0.757096654,10.29762454
hsa-mir-193a-5p,1068.797,738.9237212,347.2715568,828.665113
hsa-mir-411-5p_-_1,749.1486362,583.1916688,508.326068,698.3368963
hsa-mir-3609,44.18995141,52.99938924,152.0968716,297.1548755
hsa-mir-675-5p_-_3,0,0,0.844366713,0
hsa-mir-520d-3p,0,0,0,50.62998732
hsa-mir-592,83.31681737,22.65239256,138.7770606,206.4691411
hsa-mir-598,235.614698,375.9224129,467.5089901,317.141791
hsa-mir-153-2,4.869227838,1.487792942,5.498642176,0
hsa-mir-153-1,4.869227838,1.487792942,5.498642176,0
hsa-mir-29c-3p_-_1,62.46960277,41.53740947,59.76919292,27.46033211
hsa-mir-29c-3p_-_2,0,2.107706667,1.018824647,0
hsa-mir-3944-5p,2.612366613,0,0,0
hsa-mir-98,12604.81112,15178.7945,18821.62893,12684.56859
hsa-mir-409-3p_+_2,2.612366613,0,1.639832505,21.20653116
hsa-mir-409-3p_+_1,165.7693216,138.9135706,126.3691965,378.7372613
hsa-mir-320c-2_+_1,8.075926578,22.51598275,8.476674817,39.85524209
hsa-mir-144-3p_+_1,2.849854487,0,8.904334276,5.450306839
hsa-mir-151a-5p,4111.680832,3649.184324,3681.825848,1673.735879
hsa-mir-192-5p,264332.8824,89327.74746,68863.28275,47429.81703
hsa-mir-101-1-5p_-_1,55.87696685,26.09436707,62.7359282,14.01507473
hsa-mir-103a-2-3p,36534.27023,37565.06339,46172.55099,21456.64634
hsa-mir-5588-5p,75.46970002,22.50501463,12.28134706,0
hsa-mir-337-5p,83.55117522,85.79396473,67.82019953,63.96743639
hsa-mir-577_-_1,0,0,7.072837044,0
hsa-mir-380-3p,9.162386103,4.936454375,6.164303635,4.282383945
hsa-mir-129-2-3p,0,4.617810168,0,0
hsa-let-7c_+_1,407.2756482,441.0188051,434.6433987,914.1211323
hsa-mir-30b-5p_-_1,30.08390446,17.75221379,10.32031513,0
hsa-mir-4767_-_1,3.324830235,12.98875723,5.483583095,4.671691576
hsa-mir-197-3p_+_2,3.324830235,6.690638816,0,0
hsa-mir-197-3p_+_1,39.67674007,73.54895142,8.349107945,58.30344805
hsa-mir-30b-5p,7329.998434,4850.464123,4918.087239,854.0935815
hsa-mir-193a-3p_+_1,0,1.638523792,0.575596191,0
hsa-mir-22-3p_+_4,28.22721797,35.30215036,30.37945995,19.87956804
hsa-mir-22-3p_+_5,9.627087077,4.263173083,4.197536157,0
hsa-mir-22-3p_+_2,27.44749905,41.2483744,31.42046023,56.37349578
hsa-mir-22-3p_+_3,28.45940371,29.00612682,23.3589437,17.15441462
hsa-mir-22-3p_+_1,1914.867887,3014.234657,1563.233506,5851.334614
hsa-mir-1292_+_1,0,3.880098058,0.686845817,0
hsa-mir-491-5p,90.89225714,109.0309127,50.82746042,118.1426571
hsa-mir-5589-5p,50.81124501,35.35276655,24.34648076,0
hsa-mir-194-2-5p_+_1,348.8750353,251.8848389,225.9739259,292.2724509
hsa-mir-545-5p,0,0,1.555522381,0
hsa-let-7f-2-5p,163736.2825,166131.8743,183664.4748,80871.458
hsa-mir-1185-1-3p_-_1,0,0,1.726132312,0
hsa-mir-199b-3p_+_3,13.82834277,6.508285379,6.56655354,6.228922101
hsa-mir-99b-3p,496.6484131,818.3469141,768.1126608,1203.220519
hsa-mir-29b-2-5p,210.7493428,355.314927,392.3594041,104.1705214
hsa-mir-99a-5p_-_1,113.2686415,46.25836226,36.88952791,31.48756981
hsa-mir-137,0,4.249414985,4.78328587,0
hsa-mir-134,1504.033501,1231.654973,932.6474682,2786.353502
hsa-mir-30d-3p_+_1,35.91324688,51.81090523,80.90196818,28.90487073
hsa-mir-30d-3p_+_2,0,0,1.568181929,0
hsa-mir-885-3p,913.9267015,819.3515076,417.3683711,350.2085217
hsa-mir-30c-2-5p_-_1,41.35706831,23.96925661,21.16777594,4.671691576
hsa-mir-199a-2-3p,69804.8535,89328.30238,78452.69371,60177.2368
hsa-mir-383_-_1,20.18874429,0,0,0
hsa-mir-1307-3p,1297.396008,2028.345715,1714.583126,3419.152924
hsa-mir-519d,0,0,0,35.18355051
hsa-mir-425-5p,2761.090499,2981.203542,3864.128521,1871.488953
hsa-mir-215_+_1,1487.714148,576.6234776,477.9170258,195.6016992
hsa-mir-215_+_2,40.4009916,12.7983793,6.940750634,27.67401361
hsa-mir-561-5p,0,8.512907791,13.54362269,18.02084295
hsa-mir-582-5p,74.21175287,168.3786476,196.0179786,151.9626634
hsa-mir-449b-3p,0,0,5.107302752,5.83961447
hsa-mir-181b-2-5p_+_3,2.234336977,3.700436162,7.437431403,8.564767889
hsa-mir-181b-2-5p_+_2,4.250102051,6.002494441,7.348912954,13.6257671
hsa-mir-181b-2-5p_+_4,0,0,0.575596191,0
hsa-mir-181b-2-5p_+_6,2.497200151,1.365436493,1.95821851,11.15575992
hsa-mir-191-5p_+_5,1.971473803,0,0.48903583,0
hsa-mir-455-3p_-_1,148.6513252,60.86734962,56.22082525,31.92322577
hsa-mir-455-3p_-_2,452.76306,159.6023899,170.4597056,144.1731014
hsa-mir-550a-2-5p,1.314315869,0,0.712561557,0
hsa-mir-140-3p_+_4,16.51401343,14.6976581,24.11931468,24.4717395
hsa-mir-629-3p,12.97339094,8.670015667,2.91485277,0
hsa-mir-154-3p,75.18457067,96.28426595,99.82728524,67.93173987
hsa-mir-4746-5p,0,0,0,0
hsa-mir-29a-3p_-_2,6.665925595,9.527753826,10.78011548,0
hsa-mir-29a-3p_-_1,3874.633937,3202.00005,3485.048701,1797.029192
hsa-mir-543,379.4732706,421.5344273,378.744505,290.9918361
hsa-mir-26a-1-3p,20.28053838,0,2.840981525,0
hsa-mir-664-3p_+_1,4.512269604,8.943102966,1.553179464,0
hsa-mir-664-3p_+_5,0,0,0.611294788,0
hsa-mir-191-5p_-_1,12.93077548,11.20161867,7.325373207,17.46420214
hsa-mir-376a-2-3p_+_1,4.987245352,3.106013777,1.203519308,10.90061368
hsa-mir-200a-5p,47.5135155,36.40311212,101.2694839,50.48412363
hsa-mir-501-3p_+_1,0,2.184698389,0,0
hsa-let-7b-3p,94.85346364,103.4524255,101.1054919,92.06881301
hsa-mir-103a-2-3p_-_1,97.9649259,120.6228176,116.0453358,73.85087446
hsa-mir-92a-1-3p_+_7,101.8814716,58.03571496,42.52666294,54.9587196
hsa-mir-92a-1-3p_+_6,65.53074864,56.49953326,37.22230009,41.85642152
hsa-mir-92a-1-3p_+_4,140.7431926,119.4872812,75.37181048,75.73447839
hsa-mir-92a-1-3p_+_3,10.16063711,4.93744059,2.6804036,3.893076313
hsa-mir-92a-1-3p_+_2,210.7151053,234.4194907,144.4281404,235.1154562
hsa-mir-92a-1-3p_+_1,2969.814923,3275.848606,2382.05794,3196.33065
hsa-mir-92a-1-3p_+_8,26.42514165,9.63725068,12.46200528,7.007537364
